defense,nom,attaque,papier_accuracy,accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,precision_micro,recall_micro,f1_micro,recall_benign,mcc_multi,mcc_binaire,tpr,fpr,tnr,fnr
ls,Label Smoothing,Clean,,0.929050,0.897873,0.710234,0.749140,0.934495,0.929050,0.920727,0.929050,0.929050,0.929050,0.981200,0.900746,0.882166,0.897900,0.018800,0.981200,0.102100
ls,Label Smoothing,FGSM,83.710000,0.395750,0.051047,0.064235,0.055314,0.267980,0.395750,0.316520,0.395750,0.395750,0.395750,0.749000,-0.021616,-0.078904,0.185800,0.251000,0.749000,0.814200
ls,Label Smoothing,BIM,82.750000,0.450950,0.090876,0.074313,0.062877,0.301562,0.450950,0.345336,0.450950,0.450950,0.450950,0.856600,0.045320,0.058958,0.187200,0.143400,0.856600,0.812800
ls,Label Smoothing,PGD,82.910000,0.471150,0.121959,0.073745,0.061991,0.328746,0.471150,0.354783,0.471150,0.471150,0.471150,0.906800,0.068085,0.117205,0.172800,0.093200,0.906800,0.827200
ls,Label Smoothing,DeepFool,81.710000,0.558000,0.677238,0.282967,0.352582,0.580049,0.558000,0.469016,0.558000,0.558000,0.558000,0.933300,0.279075,0.180137,0.186500,0.066700,0.933300,0.813500
ls,Label Smoothing,JSMA,81.250000,0.495200,0.239850,0.109095,0.108065,0.363089,0.495200,0.355626,0.495200,0.495200,0.495200,0.966400,0.073610,0.113328,0.087700,0.033600,0.966400,0.912300
ls,Label Smoothing,CW,80.400000,0.695800,0.760720,0.489259,0.560048,0.729531,0.695800,0.680611,0.695800,0.695800,0.695800,0.832400,0.551964,0.424362,0.578000,0.167600,0.832400,0.422000
ga,Gaussian Augmentation,Clean,,0.715900,0.742900,0.362182,0.415938,0.789539,0.715900,0.662762,0.715900,0.715900,0.715900,0.991400,0.591653,0.524368,0.449200,0.008600,0.991400,0.550800
ga,Gaussian Augmentation,FGSM,80.230000,0.512600,0.194106,0.083547,0.075000,0.399779,0.512600,0.371372,0.512600,0.512600,0.512600,0.981100,0.123834,0.079596,0.047400,0.018900,0.981100,0.952600
ga,Gaussian Augmentation,BIM,80.220000,0.512750,0.117019,0.080304,0.069108,0.355776,0.512750,0.367822,0.512750,0.512750,0.512750,0.985600,0.122409,0.079870,0.040500,0.014400,0.985600,0.959500
ga,Gaussian Augmentation,PGD,80.660000,0.496400,0.079083,0.067328,0.046572,0.305896,0.496400,0.333384,0.496400,0.496400,0.496400,0.991100,-0.007423,-0.031350,0.003900,0.008900,0.991100,0.996100
ga,Gaussian Augmentation,DeepFool,80.210000,0.716000,0.743588,0.362196,0.415993,0.790254,0.716000,0.662832,0.716000,0.716000,0.716000,0.991600,0.591888,0.524608,0.449100,0.008400,0.991600,0.550900
ga,Gaussian Augmentation,JSMA,81.590000,0.044500,0.439195,0.096741,0.054004,0.431709,0.044500,0.077671,0.044500,0.044500,0.044500,0.045800,0.007948,-0.106307,0.898700,0.954200,0.045800,0.101300
ga,Gaussian Augmentation,CW,77.400000,0.697300,0.665133,0.347939,0.398963,0.736803,0.697300,0.640009,0.697300,0.697300,0.697300,0.982800,0.559904,0.486493,0.419000,0.017200,0.982800,0.581000
at,Adversarial Training,Clean,,0.925750,0.896499,0.712364,0.747245,0.931018,0.925750,0.917396,0.925750,0.925750,0.925750,0.978400,0.896019,0.874502,0.892900,0.021600,0.978400,0.107100
at,Adversarial Training,FGSM,80.850000,0.994450,0.947525,0.915976,0.929267,0.994386,0.994450,0.994394,0.994450,0.994450,0.994450,0.996700,0.992292,0.990704,0.994000,0.003300,0.996700,0.006000
at,Adversarial Training,BIM,80.490000,0.998250,0.990252,0.946857,0.962541,0.998244,0.998250,0.998225,0.998250,0.998250,0.998250,0.999400,0.997571,0.999000,0.999600,0.000600,0.999400,0.000400
at,Adversarial Training,PGD,80.750000,0.838150,0.603868,0.658037,0.593154,0.845943,0.838150,0.837700,0.838150,0.838150,0.838150,0.921100,0.776139,0.849523,0.928400,0.078900,0.921100,0.071600
at,Adversarial Training,DeepFool,80.470000,0.936250,0.879372,0.774074,0.789635,0.938461,0.936250,0.931766,0.936250,0.936250,0.936250,0.960000,0.911061,0.895084,0.934800,0.040000,0.960000,0.065200
at,Adversarial Training,JSMA,81.470000,0.575600,0.696930,0.179600,0.232944,0.719594,0.575600,0.484343,0.575600,0.575600,0.575600,0.990100,0.328953,0.280624,0.170800,0.009900,0.990100,0.829200
at,Adversarial Training,CW,78.300000,0.755250,0.800056,0.508130,0.576272,0.776507,0.755250,0.736108,0.755250,0.755250,0.755250,0.906100,0.642985,0.559005,0.631400,0.093900,0.906100,0.368600
dae,Denoising Autoencoder,Clean,,0.594950,0.530909,0.220559,0.255871,0.599923,0.594950,0.489993,0.594950,0.594950,0.594950,0.998800,0.377954,0.334729,0.204600,0.001200,0.998800,0.795400
dae,Denoising Autoencoder,FGSM,83.850000,0.558150,0.461076,0.139039,0.155051,0.580617,0.558150,0.437324,0.558150,0.558150,0.558150,0.999800,0.291048,0.254822,0.122500,0.000200,0.999800,0.877500
dae,Denoising Autoencoder,BIM,82.870000,0.563050,0.373371,0.147173,0.166708,0.538407,0.563050,0.445480,0.563050,0.563050,0.563050,0.998700,0.303381,0.262232,0.132200,0.001300,0.998700,0.867800
dae,Denoising Autoencoder,PGD,82.890000,0.535350,0.428681,0.113584,0.123117,0.551595,0.535350,0.405178,0.535350,0.535350,0.535350,0.993500,0.219239,0.183276,0.081800,0.006500,0.993500,0.918200
dae,Denoising Autoencoder,DeepFool,81.710000,0.594550,0.530827,0.219907,0.255256,0.599550,0.594550,0.489516,0.594550,0.594550,0.594550,0.998700,0.377092,0.333565,0.203600,0.001300,0.998700,0.796400
dae,Denoising Autoencoder,JSMA,81.330000,0.505500,0.371031,0.074415,0.059465,0.528298,0.505500,0.345535,0.505500,0.505500,0.505500,0.999800,0.086630,0.079359,0.013100,0.000200,0.999800,0.986900
dae,Denoising Autoencoder,CW,80.100000,0.575500,0.469512,0.182385,0.207517,0.587118,0.575500,0.463489,0.575500,0.575500,0.575500,0.996100,0.333215,0.287537,0.162900,0.003900,0.996100,0.837100
baseline,Baseline lr reduit,Clean,,0.941600,0.924103,0.762217,0.797443,0.944646,0.941600,0.933286,0.941600,0.941600,0.941600,0.985600,0.918549,0.905860,0.918200,0.014400,0.985600,0.081800
baseline,Baseline lr reduit,FGSM,,0.478600,0.098518,0.073989,0.064879,0.350469,0.478600,0.359026,0.478600,0.478600,0.478600,0.919400,0.054181,0.052433,0.111500,0.080600,0.919400,0.888500
baseline,Baseline lr reduit,BIM,,0.465800,0.099140,0.072282,0.064306,0.350088,0.465800,0.354459,0.465800,0.465800,0.465800,0.893800,0.038505,0.029248,0.124900,0.106200,0.893800,0.875100
baseline,Baseline lr reduit,PGD,,0.482000,0.033753,0.064348,0.044243,0.252161,0.482000,0.331064,0.482000,0.482000,0.482000,0.963800,0.003455,0.037361,0.051500,0.036200,0.963800,0.948500
