defense,nom,attaque,papier_accuracy,accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,precision_micro,recall_micro,f1_micro,recall_benign,mcc_multi,mcc_binaire,tpr,fpr,tnr,fnr
ls,Label Smoothing,Clean,,0.932900,0.899146,0.713800,0.751509,0.938015,0.932900,0.924487,0.932900,0.932900,0.932900,0.981700,0.906212,0.889039,0.904700,0.018300,0.981700,0.095300
ls,Label Smoothing,FGSM,83.710000,0.395750,0.053904,0.064114,0.055984,0.269776,0.395750,0.315734,0.395750,0.395750,0.395750,0.749500,-0.030544,-0.105242,0.165100,0.250500,0.749500,0.834900
ls,Label Smoothing,BIM,82.750000,0.457300,0.094401,0.079169,0.069548,0.309942,0.457300,0.353939,0.457300,0.457300,0.457300,0.856100,0.058439,0.056718,0.186000,0.143900,0.856100,0.814000
ls,Label Smoothing,PGD,82.910000,0.474250,0.128579,0.076356,0.065893,0.336695,0.474250,0.359320,0.474250,0.474250,0.474250,0.905900,0.075730,0.113651,0.171200,0.094100,0.905900,0.828800
ls,Label Smoothing,DeepFool,81.710000,0.558400,0.678926,0.281975,0.351764,0.580778,0.558400,0.468899,0.558400,0.558400,0.558400,0.935200,0.279629,0.182867,0.185900,0.064800,0.935200,0.814100
ls,Label Smoothing,JSMA,81.250000,0.495750,0.138041,0.075791,0.063457,0.342883,0.495750,0.355761,0.495750,0.495750,0.495750,0.967800,0.075322,0.119194,0.089100,0.032200,0.967800,0.910900
ls,Label Smoothing,CW,80.400000,0.689100,0.749287,0.489414,0.558568,0.722861,0.689100,0.676811,0.689100,0.689100,0.689100,0.815200,0.543280,0.410503,0.584200,0.184800,0.815200,0.415800
ga,Gaussian Augmentation,Clean,,0.807300,0.800956,0.493168,0.533719,0.849812,0.807300,0.774618,0.807300,0.807300,0.807300,0.975000,0.726621,0.656711,0.644900,0.025000,0.975000,0.355100
ga,Gaussian Augmentation,FGSM,80.230000,0.510800,0.100133,0.079009,0.067270,0.353193,0.510800,0.368876,0.510800,0.510800,0.510800,0.981100,0.116815,0.095482,0.054900,0.018900,0.981100,0.945100
ga,Gaussian Augmentation,BIM,80.220000,0.506450,0.126178,0.079348,0.068681,0.366222,0.506450,0.366713,0.506450,0.506450,0.506450,0.971600,0.096313,0.052949,0.048800,0.028400,0.971600,0.951200
ga,Gaussian Augmentation,PGD,80.660000,0.496450,0.040451,0.066425,0.045176,0.260254,0.496450,0.335485,0.496450,0.496450,0.496450,0.992300,0.028975,0.080413,0.029400,0.007700,0.992300,0.970600
ga,Gaussian Augmentation,DeepFool,80.210000,0.806500,0.800762,0.492002,0.532949,0.849247,0.806500,0.773835,0.806500,0.806500,0.806500,0.974800,0.725399,0.655390,0.643600,0.025200,0.974800,0.356400
ga,Gaussian Augmentation,JSMA,81.590000,0.516300,0.696057,0.120194,0.127820,0.667651,0.516300,0.369645,0.516300,0.516300,0.516300,0.998300,0.148150,0.130714,0.038300,0.001700,0.998300,0.961700
ga,Gaussian Augmentation,CW,77.400000,0.746700,0.707160,0.441630,0.487960,0.764920,0.746700,0.715472,0.746700,0.746700,0.746700,0.929700,0.628856,0.548814,0.585600,0.070300,0.929700,0.414400
at,Adversarial Training,Clean,,0.927150,0.897272,0.715951,0.749117,0.932609,0.927150,0.918827,0.927150,0.927150,0.927150,0.978500,0.898028,0.877584,0.896100,0.021500,0.978500,0.103900
at,Adversarial Training,FGSM,80.850000,0.994500,0.947522,0.915983,0.929268,0.994436,0.994500,0.994444,0.994500,0.994500,0.994500,0.996800,0.992362,0.990904,0.994100,0.003200,0.996800,0.005900
at,Adversarial Training,BIM,80.490000,0.998300,0.996919,0.963440,0.977795,0.998304,0.998300,0.998286,0.998300,0.998300,0.998300,0.999500,0.997641,0.999100,0.999600,0.000500,0.999500,0.000400
at,Adversarial Training,PGD,80.750000,0.836200,0.602457,0.656256,0.591175,0.843958,0.836200,0.835561,0.836200,0.836200,0.836200,0.918300,0.773683,0.847550,0.929200,0.081700,0.918300,0.070800
at,Adversarial Training,DeepFool,80.470000,0.937300,0.879888,0.775982,0.790863,0.939596,0.937300,0.932874,0.937300,0.937300,0.937300,0.960200,0.912560,0.897050,0.936600,0.039800,0.960200,0.063400
