methode,attaque,accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,precision_micro,recall_micro,f1_micro,recall_benign,mcc_multi,mcc_binaire,tpr,fpr,tnr,fnr
Vote majoritaire,Clean,0.864000,0.917243,0.576706,0.640327,0.891474,0.864000,0.843423,0.864000,0.864000,0.864000,0.997200,0.811140,0.755623,0.731200,0.002800,0.997200,0.268800
Vote majoritaire,FGSM,0.555850,0.499824,0.135289,0.151050,0.598989,0.555850,0.433606,0.555850,0.555850,0.555850,1.000000,0.287165,0.243561,0.112000,0.000000,1.000000,0.888000
Vote majoritaire,BIM,0.557500,0.418608,0.141352,0.159416,0.558593,0.557500,0.436276,0.557500,0.557500,0.557500,0.999700,0.290840,0.249125,0.117700,0.000300,0.999700,0.882300
Vote majoritaire,PGD,0.528450,0.427451,0.099202,0.102967,0.562231,0.528450,0.389987,0.528450,0.528450,0.528450,0.999600,0.201707,0.170434,0.057600,0.000400,0.999600,0.942400
Vote majoritaire,DeepFool,0.648300,0.904955,0.348851,0.415651,0.792787,0.648300,0.565697,0.648300,0.648300,0.648300,0.999600,0.486713,0.417064,0.297300,0.000400,0.999600,0.702700
Vote majoritaire,JSMA,0.521950,0.584065,0.093817,0.096240,0.685785,0.521950,0.380516,0.521950,0.521950,0.521950,0.999100,0.175781,0.150237,0.046700,0.000900,0.999100,0.953300
Vote majoritaire,CW,0.713800,0.852409,0.403451,0.480235,0.784652,0.713800,0.661275,0.713800,0.713800,0.713800,0.990300,0.589830,0.513847,0.438100,0.009700,0.990300,0.561900
"Moyenne, poids egaux",Clean,0.864000,0.917707,0.576290,0.640227,0.891855,0.864000,0.843408,0.864000,0.864000,0.864000,0.998100,0.811273,0.756014,0.730300,0.001900,0.998100,0.269700
"Moyenne, poids egaux",FGSM,0.555800,0.499822,0.135186,0.150844,0.598975,0.555800,0.433495,0.555800,0.555800,0.555800,1.000000,0.287027,0.243446,0.111900,0.000000,1.000000,0.888100
"Moyenne, poids egaux",BIM,0.557500,0.418608,0.141352,0.159416,0.558593,0.557500,0.436276,0.557500,0.557500,0.557500,0.999700,0.290840,0.249125,0.117700,0.000300,0.999700,0.882300
"Moyenne, poids egaux",PGD,0.528400,0.427404,0.099112,0.102802,0.562193,0.528400,0.389885,0.528400,0.528400,0.528400,0.999600,0.201517,0.170279,0.057500,0.000400,0.999600,0.942500
"Moyenne, poids egaux",DeepFool,0.648300,0.904955,0.348851,0.415651,0.792787,0.648300,0.565697,0.648300,0.648300,0.648300,0.999600,0.486713,0.417064,0.297300,0.000400,0.999600,0.702700
"Moyenne, poids egaux",JSMA,0.521550,0.587986,0.093463,0.095624,0.687652,0.521550,0.379694,0.521550,0.521550,0.521550,0.999100,0.174318,0.148311,0.045600,0.000900,0.999100,0.954400
"Moyenne, poids egaux",CW,0.713200,0.860364,0.402017,0.478781,0.790388,0.713200,0.659675,0.713200,0.713200,0.713200,0.992400,0.589619,0.514631,0.434800,0.007600,0.992400,0.565200
"Moyenne, poids optimises",Clean,0.915350,0.897992,0.676460,0.718415,0.923753,0.915350,0.904061,0.915350,0.915350,0.915350,0.986100,0.881700,0.856959,0.864500,0.013900,0.986100,0.135500
"Moyenne, poids optimises",FGSM,0.607900,0.750124,0.246434,0.316130,0.682219,0.607900,0.522367,0.607900,0.607900,0.607900,0.999300,0.403443,0.360414,0.231700,0.000700,0.999300,0.768300
"Moyenne, poids optimises",BIM,0.595400,0.842254,0.249174,0.311703,0.710886,0.595400,0.496000,0.595400,0.595400,0.595400,0.999700,0.381184,0.326548,0.193500,0.000300,0.999700,0.806500
"Moyenne, poids optimises",PGD,0.531550,0.372199,0.113901,0.120961,0.485412,0.531550,0.405224,0.531550,0.531550,0.531550,0.989900,0.198776,0.256212,0.148600,0.010100,0.989900,0.851400
"Moyenne, poids optimises",DeepFool,0.756800,0.888937,0.471635,0.536042,0.813853,0.756800,0.705313,0.756800,0.756800,0.756800,0.996300,0.658105,0.585942,0.518400,0.003700,0.996300,0.481600
"Moyenne, poids optimises",JSMA,0.555500,0.654401,0.145152,0.182153,0.681834,0.555500,0.449439,0.555500,0.555500,0.555500,0.991500,0.275889,0.247719,0.137300,0.008500,0.991500,0.862700
"Moyenne, poids optimises",CW,0.769000,0.833799,0.504048,0.585238,0.796985,0.769000,0.748881,0.769000,0.769000,0.769000,0.929900,0.664537,0.582130,0.624400,0.070100,0.929900,0.375600
