modele,titre,attaque,accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,precision_micro,recall_micro,f1_micro,recall_benign,mcc_multi,mcc_binaire,tpr,fpr,tnr,fnr
fidele,"Baseline fidele (lr 0.01, 30 epochs)",Clean,0.886300,0.683963,0.556173,0.584296,0.880092,0.886300,0.864942,0.886300,0.886300,0.886300,0.979100,0.840338,0.791904,0.800000,0.020900,0.979100,0.200000
fidele,"Baseline fidele (lr 0.01, 30 epochs)",FGSM,0.517850,0.098556,0.079222,0.066170,0.350749,0.517850,0.368710,0.517850,0.517850,0.517850,0.997900,0.154106,0.127656,0.037800,0.002100,0.997900,0.962200
fidele,"Baseline fidele (lr 0.01, 30 epochs)",BIM,0.512350,0.088068,0.078489,0.065201,0.334036,0.512350,0.365294,0.512350,0.512350,0.512350,0.986900,0.119844,0.078661,0.037900,0.013100,0.986900,0.962100
fidele,"Baseline fidele (lr 0.01, 30 epochs)",PGD,0.498200,0.033273,0.066427,0.044338,0.249549,0.498200,0.332532,0.498200,0.498200,0.498200,0.996400,-0.019843,-0.042465,0.000000,0.003600,0.996400,1.000000
fidele,"Baseline fidele (lr 0.01, 30 epochs)",DeepFool,0.681750,0.524304,0.286929,0.335037,0.696057,0.681750,0.626453,0.681750,0.681750,0.681750,0.958700,0.523620,0.465920,0.439500,0.041300,0.958700,0.560500
fidele,"Baseline fidele (lr 0.01, 30 epochs)",JSMA,0.500850,0.245495,0.068125,0.047417,0.406846,0.500850,0.335638,0.500850,0.500850,0.500850,0.999600,0.032177,0.030024,0.002800,0.000400,0.999600,0.997200
fidele,"Baseline fidele (lr 0.01, 30 epochs)",CW,0.687800,0.582192,0.350402,0.399555,0.710310,0.687800,0.644976,0.687800,0.687800,0.687800,0.913400,0.533328,0.436090,0.479500,0.086600,0.913400,0.520500
varlr,"Baseline lr reduit (lr 0.001, 100 epochs)",Clean,0.941600,0.924103,0.762217,0.797443,0.944646,0.941600,0.933286,0.941600,0.941600,0.941600,0.985600,0.918549,0.905860,0.918200,0.014400,0.985600,0.081800
varlr,"Baseline lr reduit (lr 0.001, 100 epochs)",FGSM,0.478600,0.098518,0.073989,0.064879,0.350469,0.478600,0.359026,0.478600,0.478600,0.478600,0.919400,0.054181,0.052433,0.111500,0.080600,0.919400,0.888500
varlr,"Baseline lr reduit (lr 0.001, 100 epochs)",BIM,0.465800,0.099140,0.072282,0.064306,0.350088,0.465800,0.354459,0.465800,0.465800,0.465800,0.893800,0.038505,0.029248,0.124900,0.106200,0.893800,0.875100
varlr,"Baseline lr reduit (lr 0.001, 100 epochs)",PGD,0.482000,0.033753,0.064348,0.044243,0.252161,0.482000,0.331064,0.482000,0.482000,0.482000,0.963800,0.003455,0.037361,0.051500,0.036200,0.963800,0.948500
varlr,"Baseline lr reduit (lr 0.001, 100 epochs)",DeepFool,0.525100,0.677088,0.246798,0.299512,0.514890,0.525100,0.417964,0.525100,0.525100,0.525100,0.941000,0.189824,0.132279,0.137800,0.059000,0.941000,0.862200
varlr,"Baseline lr reduit (lr 0.001, 100 epochs)",JSMA,0.495600,0.177233,0.068121,0.048567,0.334392,0.495600,0.335854,0.495600,0.495600,0.495600,0.987300,0.012526,0.014664,0.016200,0.012700,0.987300,0.983800
varlr,"Baseline lr reduit (lr 0.001, 100 epochs)",CW,0.700350,0.862198,0.459429,0.546883,0.743841,0.700350,0.669911,0.700350,0.700350,0.700350,0.914800,0.554645,0.459958,0.504700,0.085200,0.914800,0.495300
